Zone,State,Distributor,Dealer,MT
East,Bihar,KHARAKIA METALS PRIVATE LIMITED,FN ASSOCIATES,12.0
East,Bihar,KHARAKIA METALS PRIVATE LIMITED,KHUSHI TRADERS,12.0
East,Bihar,KHARAKIA METALS PRIVATE LIMITED,M. A. TRADERS,10.9
East,Bihar,KHARAKIA METALS PRIVATE LIMITED,MUSKAN TRADERS,12.0
East,Bihar,KHARAKIA METALS PRIVATE LIMITED,OM ENTERPRISES,12.0
East,Bihar,KHARAKIA METALS PRIVATE LIMITED,RAGHAV TRADING,25.0
East,Bihar,KHARAKIA METALS PRIVATE LIMITED,SHANKAR TRADERS,12.0
East,Bihar,SUBH NEXTGEN PRIVATE LIMITED,BIHAR TRADERS,5.0
East,Bihar,SUBH NEXTGEN PRIVATE LIMITED,M/S REPURA HARDWARE,3.0
East,Bihar,SUBH NEXTGEN PRIVATE LIMITED,PANKJ TRADERS,6.0
East,Bihar,SUBH NEXTGEN PRIVATE LIMITED,R K TRADERS,12.0
East,Bihar,SUBH NEXTGEN PRIVATE LIMITED,RAJ LAXMI TRADERS,7.5
East,Bihar,SUBH NEXTGEN PRIVATE LIMITED,SINGH TRADERS,6.0
East,Bihar,SUBH NEXTGEN PRIVATE LIMITED,SRI JAGDAMBA STEEL,6.0
East,Bihar,SUBH NEXTGEN PRIVATE LIMITED,VANSHIKA STEEL,39.22
East,Jharkhand,REAL DREAMS ENTERPRISES LIMITED,A R ENTERPRISES,25.0
East,Jharkhand,REAL DREAMS ENTERPRISES LIMITED,PANCONPOWER AND INFRA PRIVATE LIMITED,23.0
East,Jharkhand,REAL DREAMS ENTERPRISES LIMITED,V. K. LOGISTICS AND SERVICES,12.0
East,West Bengal,CHANDRA TRADERS,H.R ENTERPRISE,10.14
East,West Bengal,KEDIA STEEL PRODUCTS PRIVATE LIMITED,"GHOSH ENTERPRISE, GHOSH TRAVELS",12.06
East,West Bengal,KEDIA STEEL PRODUCTS PRIVATE LIMITED,KRISHAN ENTERPRISE,10.31
East,West Bengal,KEDIA STEEL PRODUCTS PRIVATE LIMITED,MAKHAL ENTERPRISE,6.14
East,West Bengal,KEDIA STEEL PRODUCTS PRIVATE LIMITED,SWAPNA BUILDERS,5.12
East,West Bengal,KEDIA STEEL PRODUCTS PRIVATE LIMITED,UNITED TRADERS,8.63
East,West Bengal,MAHESHWARI SALES AGENCY,SOUMYADIP ENTERPRISE,2.0
East,West Bengal,NERIUM MULTICOM LLP,MAHAMAYA MACHINERY & HARDWARE,12.08
East,West Bengal,NERIUM MULTICOM LLP,MAITI ENTERPRISE,15.96
East,West Bengal,Siliguri Builders Stores,AAKASH ENTERPRISE,3.0
East,West Bengal,Siliguri Builders Stores,B.M.K.TRADING,6.0
East,West Bengal,Siliguri Builders Stores,SHREE RAM TRADERS,3.0
