Zone,State,Distributor,Dealer,MT,SF_Id
Central,Madhya Pradesh,Global Steel,ATC9 STEELS LIMITED,25.0,001J1000009H3hzIAC
Central,Madhya Pradesh,Global Steel,DISHA TRADERS,41.95,001fw000004MziWAAS
North,Delhi,MAHENDRA STEELS,BRIJ LAL STEELCON CO,12.01,001J1000007oMDhIAM
North,Delhi,MAHENDRA STEELS,KHANDELWAL  STEELS,30.13,001J100000Vn6xxIAB
North,Delhi,MAHENDRA STEELS,SHREE RAJ SHYAMAJI ENTERPRISES,41.71,0015g00001ZV7hHAAT
North,Haryana,JAI DURGA STEELS,CH STEELS,68.97,001J100000BPKGwIAP
North,Haryana,NIKUNJ UDYOG,AKSHAY UDYOG,10.06,0015g00001UBHaMAAX
North,Haryana,NIKUNJ UDYOG,PREETI TRADELINK PRIVATE LIMITED,10.1,001J1000002mNAxIAM
North,Haryana,NIKUNJ UDYOG,STEEL BAZAAR,14.02,0015g00001UBHaVAAX
North,Haryana,NIKUNJ UDYOG,VAMIKA IRON AND STEEL PRIVATE LIMITED,11.14,001fw00000SzxxXAAR
North,Punjab,Ramdoot Udhyog Private limited,LUXMI CEMENT AGENCY,12.04,001J100000VnG6XIAV
North,Punjab,Ramdoot Udhyog Private limited,AGGARWAL TRADERS,14.97,0015g00001cbFaYAAU
North,Rajasthan,J P Alloys,SHREE BALAJI STEEL,10.0,001J100000Rz0aLIAR
North,Rajasthan,J P Alloys,Shree shyam traders,6.5,0015g00001YQPYFAA5
North,Rajasthan,M R ASSOCIATES,PUKHRAJ RAM NARAYAN & CO.,9.4,001J1000002jQNfIAM
North,Rajasthan,M R ASSOCIATES,RAJASTHAN STEELS,2.5,001J100000S0iyoIAB
North,Rajasthan,M R ASSOCIATES,ROOP STEEL TRADING COMPANY,6.0,0015g00001f8ua5AAA
North,Rajasthan,SWASTIK TRADEVISION PRIVATE LIMITED,HARJAMNA STEELS,40.51,001fw00000IB5zhAAD
North,Uttar Pradesh,DINESH STEEL PRIVATE LIMITED,M/S AAR DEE DISTRIBUTORS,30.01,0015g00001YOMCMAA5
North,Uttar Pradesh,Khandelwal Associates,KHANDELWAL METAL INDUSTRIES INDIA PVT. LTD.,33.31,001J100000Vo9dAIAR
North,Uttar Pradesh,OPTRIX INFRA LLP,NARENDRA STEELS,63.39,0015g00001TDCVRAA5
North,Uttar Pradesh,SHASHI STEELS LLP,M/S TANEJA IRON SYNDICATE,15.02,0015g00001V9SNmAAN
