Zone,State,Distributor,Dealer,MT,SF_Id
Central,Madhya Pradesh,Global Steel,ADINATH ENTERPRISES,3,0015g00001Xaj9UAAR
Central,Madhya Pradesh,Global Steel,ADINATH STEEL CENTRE,2,0015g00001XIuGuAAL
Central,Madhya Pradesh,Global Steel,AGRAWAL IRON STORES,2,001J1000009Eu1eIAC
Central,Madhya Pradesh,Global Steel,AGRAWAL TRADING COMPANY,3,0015g00001VBFHkAAP
Central,Madhya Pradesh,Global Steel,ANAND STEEL,2,001fw00000IwnR1AAJ
Central,Madhya Pradesh,Global Steel,ANANT ASSOCIATES,1,001fw00000L0UzlAAF
Central,Madhya Pradesh,Global Steel,ATC9 STEELS LIMITED,11,001J1000009H3hzIAC
Central,Madhya Pradesh,Global Steel,Aashirwad Traders,2,0015g00001YPwx3AAD
Central,Madhya Pradesh,Global Steel,Ajay Traders and Suppliers,1,001J1000009HB3tIAG
Central,Madhya Pradesh,Global Steel,GAYATRI TRADERS,3,001J100000TrlKjIAJ
Central,Madhya Pradesh,Global Steel,HOMELY HEAVEN,2,001J100000S0WPJIA3
Central,Madhya Pradesh,Global Steel,LAHORII NARMADA TRADERS,2,001J1000006VGrOIAW
Central,Madhya Pradesh,Global Steel,LAXMI ISPAT COMPANY,2,0015g00001XK3RqAAL
Central,Madhya Pradesh,Global Steel,M/S ADINATH STEELS,2,0015g00001YRDiqAAH
Central,Madhya Pradesh,Global Steel,M/S AGRAWAL IRON,1,0015g00001X5iwJAAR
Central,Madhya Pradesh,Global Steel,M/S M. N. IRON TRADERS,1,001J1000007ofTYIAY
Central,Madhya Pradesh,Global Steel,M/S SATYA STEELS,1,0015g00001ZSn1mAAD
Central,Madhya Pradesh,Global Steel,MALVIYA TRADERS,10,0015g00001dFkSPAA0
Central,Madhya Pradesh,Global Steel,Oswal Steel,1,0015g00001ZSrnmAAD
Central,Madhya Pradesh,Global Steel,Parasram Steel,0,0015g00001ca0sqAAA
Central,Madhya Pradesh,Global Steel,RAI TRADERS,2,001J100000TrNgzIAF
Central,Madhya Pradesh,Global Steel,S.K.TRADERS,3,001J100000TrV0HIAV
Central,Madhya Pradesh,Global Steel,SANJAY STEEL TRADERS,2,0015g000015zvW3AAI
Central,Madhya Pradesh,Global Steel,SATNAM CEMENT TRADERS,2,001J100000TscYKIAZ
Central,Madhya Pradesh,Global Steel,SATYA STEEL,3,001J1000007oV3FIAU
Central,Madhya Pradesh,Global Steel,SHEROCK VENTURES PRIVATE LIMITED,5,001J100000RypIrIAJ
Central,Madhya Pradesh,Global Steel,SSD ENTERPRISES,2,0015g00001XKOBAAA5
Central,Madhya Pradesh,Global Steel,VIRAT TRADERS,12,0015g00001Y5xReAAJ
Central,Madhya Pradesh,Global Steel,Vikas trading company,2,001J1000007oCleIAE
Central,Madhya Pradesh,Global Steel,Vinod Traders,3,0015g00001UBHngAAH
Central,Madhya Pradesh,R. K. ENTERPRISES,BOLD STEEL SUPPLIERS,2,001fw000007ARJ6AAO
Central,Madhya Pradesh,R. K. ENTERPRISES,CHOUDHARY ENTERPRISES,1,0015g00001X2QuBAAV
Central,Madhya Pradesh,R. K. ENTERPRISES,Foziya enterprises & Traders,5,0015g00001X5nJ5AAJ
Central,Madhya Pradesh,R. K. ENTERPRISES,G S Steel,6,0015g00001bcyjRAAQ
Central,Madhya Pradesh,R. K. ENTERPRISES,Jha Steel,2,0015g00001XKNkjAAH
Central,Madhya Pradesh,R. K. ENTERPRISES,Kalyan Iron And Steel Private Limited Palda,7,001J1000006V8kAIAS
Central,Madhya Pradesh,R. K. ENTERPRISES,M/S BAHUBALI TRADING COMPANY,3,001J100000RyrcBIAR
Central,Madhya Pradesh,R. K. ENTERPRISES,M/S SURAJMAL SHYAMSUNDER CHOKHARA,5,001fw00000DQ5r0AAD
Central,Madhya Pradesh,R. K. ENTERPRISES,Malwa Traders,6,0015g00001XIcSnAAL
Central,Madhya Pradesh,R. K. ENTERPRISES,NAAZ STEEL,2,001J100000Drb1hIAB
Central,Madhya Pradesh,R. K. ENTERPRISES,NEW JAIN STEEL,2,0015g00001XM8sxAAD
Central,Madhya Pradesh,R. K. ENTERPRISES,NITA STEEL SUPPLIERS,40,0015g00001LVcLpAAL
Central,Madhya Pradesh,R. K. ENTERPRISES,NOMAN STEEL,2,001J100000TsQgDIAV
Central,Madhya Pradesh,R. K. ENTERPRISES,RADHIKA ASSOCIATES,1,001fw00000SBAryAAH
Central,Madhya Pradesh,R. K. ENTERPRISES,RAMA ENTERPRISES,1,001J100000TrNWGIA3
Central,Madhya Pradesh,R. K. ENTERPRISES,RAMESH STEEL AND SONS,3,0015g00001XKSO0AAP
Central,Madhya Pradesh,R. K. ENTERPRISES,ROHIT ENTERPRISES,10,001J100000RyyN1IAJ
Central,Madhya Pradesh,R. K. ENTERPRISES,Ratnaraj Traders Gandhinagar Indore,2,001J100000JsPbfIAF
Central,Madhya Pradesh,R. K. ENTERPRISES,SHARVI ENTERPRISES,5,001fw000004hGwxAAE
Central,Madhya Pradesh,R. K. ENTERPRISES,SHREE AADINATH TRADERS,3,001fw00000R4Y6rAAF
Central,Madhya Pradesh,R. K. ENTERPRISES,SHREE ENTERPRISES,14,001J1000003nUATIA2
Central,Madhya Pradesh,R. K. ENTERPRISES,SHREE NAKODA STEELS,10,001J1000002mer3IAA
Central,Madhya Pradesh,R. K. ENTERPRISES,SHREE SHANTINATH STEEL,67,001J100000Jrpe7IAB
Central,Madhya Pradesh,R. K. ENTERPRISES,SHRI RANJEET STEELS,1,001fw00000LSGDtAAP
Central,Madhya Pradesh,R. K. ENTERPRISES,SHRUTI VIPARAN CO,13,001fw00000ICQytAAH
Central,Madhya Pradesh,R. K. ENTERPRISES,V.K. SALES CORPORATION,15,001J100000Vm7W7IAJ
Central,Madhya Pradesh,R. K. ENTERPRISES,VIJAY HARDWARE STORES,3,001fw00000MVFRAAA5
Central,Madhya Pradesh,R. K. ENTERPRISES,Vijay Mohan Steel Industries PVT. LTD.,3,001J1000005ZUB5IAO
Central,Maharashtra,SSTL (INDIA) PRIVATE LIMITED,"SHIVANI ENTERPRISE, GUGHUSH ROAD CHANDRAPUR",10,001J1000003jw0sIAA
Central,Odisha,Niyati Udyog Private Limited,BHOL TRADERS,12,001J1000007oX5TIAU
Central,Odisha,Niyati Udyog Private Limited,DEBA LAXMI CEMENT STORE,4,001J1000007oecjIAA
Central,Odisha,Niyati Udyog Private Limited,Das Construction,3,001J10000051mcOIAQ
Central,Odisha,Niyati Udyog Private Limited,J D ENTERPRISES,66,001J1000009EpwsIAC
Central,Odisha,Niyati Udyog Private Limited,LAXMI NRUSINGHA TRADERS,4,001J100000ME8PFIA1
Central,Odisha,Niyati Udyog Private Limited,M/S BAJARANG STEEL AND CEMENT,12,001J1000006Uz5mIAC
Central,Odisha,Niyati Udyog Private Limited,M/S G G S SUPPLIERS,4,001J100000BadfSIAR
Central,Odisha,Niyati Udyog Private Limited,M/S HIMANSU STEEL,8,001J1000006Up8wIAC
Central,Odisha,Niyati Udyog Private Limited,M/S KALINGA CONSTRUCTION SERVICES,4,001fw000007AgV3AAK
Central,Odisha,Niyati Udyog Private Limited,M/S KONARK BUILD MART,4,001J1000007np36IAA
Central,Odisha,Niyati Udyog Private Limited,M/S. JAYA DURGA STORE,4,001J100000NbwVLIAZ
Central,Odisha,Niyati Udyog Private Limited,M/S. SAHADA SUNDARI SUPPLIERS,6,001J100000TtsGRIAZ
Central,Odisha,Niyati Udyog Private Limited,MAA MANGALA CEMENT STORE,4,001J1000007oTbrIAE
Central,Odisha,Niyati Udyog Private Limited,MAA SARALA AGENCY,4,001J1000009F2IEIA0
Central,Odisha,Niyati Udyog Private Limited,MAHABIR AND CO,12,001fw00000E4HgYAAV
Central,Odisha,Niyati Udyog Private Limited,MARUTI COMMERCIALS,7,001J1000002mDzoIAE
Central,Odisha,Niyati Udyog Private Limited,N. K. STEELS,4,001J100000CMnFlIAL
Central,Odisha,Niyati Udyog Private Limited,OMM SHREE STEELS,3,001J1000009HEuZIAW
Central,Odisha,Niyati Udyog Private Limited,Orissa Steel Syndicate,12,0015g00001f6g74AAA
Central,Odisha,Niyati Udyog Private Limited,PADMA DISTRIBUTORS,4,001J100000S0M0kIAF
Central,Odisha,Niyati Udyog Private Limited,SRI JAGANNATH STEELEX,3,001J1000009FEDxIAO
Central,Odisha,Niyati Udyog Private Limited,SRIKHETRA ENTERPRISERS,3,001fw000002aUV3AAM
Central,Odisha,Niyati Udyog Private Limited,STAR AGENCY,3,001J1000002jlt1IAA
Central,Odisha,Niyati Udyog Private Limited,Shree Mahavir Traders,3,001J1000007pWNVIA2
Central,Odisha,SACHDEVA ISPAT PRIVATE LIMITED,Avinash Steel,3,0015g00001c3lsUAAQ
Central,Odisha,SACHDEVA ISPAT PRIVATE LIMITED,BIJAYALAKSHMI TRADERS,25,001J1000003mUW7IAM
Central,Odisha,SACHDEVA ISPAT PRIVATE LIMITED,BISWA STEELS,2,001J100000EpGruIAF
Central,Odisha,SACHDEVA ISPAT PRIVATE LIMITED,C.L. Steel Syndicate,6,0015g00001XKBBUAA5
Central,Odisha,SACHDEVA ISPAT PRIVATE LIMITED,GSF PIPES,3,0015g00001ZV328AAD
Central,Odisha,SACHDEVA ISPAT PRIVATE LIMITED,HOME WORLD,1,001J100000EpGnRIAV
Central,Odisha,SACHDEVA ISPAT PRIVATE LIMITED,Home World,2,0015g00001fvdP8AAI
Central,Odisha,SACHDEVA ISPAT PRIVATE LIMITED,JAI JAGANNATH STEELS,2,001J100000EpBhdIAF
Central,Odisha,SACHDEVA ISPAT PRIVATE LIMITED,M/S BANSAL STEEL & MARBLE,24,001J1000007ocJgIAI
Central,Odisha,SACHDEVA ISPAT PRIVATE LIMITED,M/S CHOUDHARY STEEL,4,001J100000EpC5ZIAV
Central,Odisha,SACHDEVA ISPAT PRIVATE LIMITED,M/S. MAHA BINAYAK TRADERS,87,001J100000RyyqrIAB
Central,Odisha,SACHDEVA ISPAT PRIVATE LIMITED,"M/s, OMMSHA TILES",3,0015g00001UBHkAAAX
Central,Odisha,SACHDEVA ISPAT PRIVATE LIMITED,"MAHAPATRA HARDWARE,FABRICATION AND SPARES",2,001J100000TuCy9IAF
Central,Odisha,SACHDEVA ISPAT PRIVATE LIMITED,Maa Bhagwati Traders,50,0015g00001YOGwKAAX
Central,Odisha,SACHDEVA ISPAT PRIVATE LIMITED,ORISSA HARDWARE STORE,15,001J100000MDyeqIAD
Central,Odisha,SACHDEVA ISPAT PRIVATE LIMITED,ROURKELA STEEL CORPORATION,2,001J100000DorKGIAZ
Central,Odisha,SACHDEVA ISPAT PRIVATE LIMITED,SHREE PRAKASH DISTRIBUTORS,11,001fw00000R4ojSAAR
