Zone,State,Distributor,Dealer,MT
Central,Madhya Pradesh,Global Steel,ATC9 STEELS LIMITED,25.0
Central,Madhya Pradesh,Global Steel,DISHA TRADERS,41.95
North,Delhi,MAHENDRA STEELS,BRIJ LAL STEELCON CO,12.01
North,Delhi,MAHENDRA STEELS,KHANDELWAL  STEELS,30.13
North,Delhi,MAHENDRA STEELS,SHREE RAJ SHYAMAJI ENTERPRISES,41.71
North,Haryana,JAI DURGA STEELS,CH STEELS,68.97
North,Haryana,NIKUNJ UDYOG,AKSHAY UDYOG,10.06
North,Haryana,NIKUNJ UDYOG,PREETI TRADELINK PRIVATE LIMITED,10.1
North,Haryana,NIKUNJ UDYOG,STEEL BAZAAR,14.02
North,Haryana,NIKUNJ UDYOG,VAMIKA IRON AND STEEL PRIVATE LIMITED,11.14
North,Punjab,RAMDOOT UDHYOG PRIVATE LIMITED,AGGARWAL TRADERS,14.97
North,Punjab,RAMDOOT UDHYOG PRIVATE LIMITED,LUXMI CEMENT AGENCY,12.04
North,Rajasthan,J P ALLOYS,SHREE BALAJI STEEL,10.0
North,Rajasthan,J P ALLOYS,Shree shyam traders,6.5
North,Rajasthan,M R Associates,PUKHRAJ RAM NARAYAN & CO.,9.4
North,Rajasthan,M R Associates,RAJASTHAN STEELS,2.5
North,Rajasthan,M R Associates,ROOP STEEL TRADING COMPANY,6.0
North,Rajasthan,Swastik Tradevision Pvt. Ltd.,HARJAMNA STEELS,40.51
North,Uttar Pradesh,DINESH STEEL PRIVATE LIMITED,M/S AAR DEE DISTRIBUTORS,30.01
North,Uttar Pradesh,Khandelwal Associates,KHANDELWAL METAL INDUSTRIES INDIA PVT. LTD.,33.31
North,Uttar Pradesh,OPTRIX INFRA LLP,NARENDRA STEELS,63.39
North,Uttar Pradesh,SHASHI STEELS LLP,M/S TANEJA IRON SYNDICATE,15.02
