Zone,State,Distributor,Dealer,Date,MT
East,Bihar,KHARAKIA METALS PRIVATE LIMITED,ANKITA TREDERS,2026-05-20,12.0
East,Bihar,KHARAKIA METALS PRIVATE LIMITED,BESIM INDUSTRIES PRIVATE LIMITED,2026-05-19,12.0
East,Bihar,KHARAKIA METALS PRIVATE LIMITED,FN ASSOCIATES,2026-05-06,12.0
East,Bihar,KHARAKIA METALS PRIVATE LIMITED,JAI MAA SUMITRA TRADERS,2026-05-06,12.0
East,Bihar,KHARAKIA METALS PRIVATE LIMITED,K.K.TRADERS,2026-05-19,12.0
East,Bihar,KHARAKIA METALS PRIVATE LIMITED,KHUSHI TRADERS,2026-05-03,5.98
East,Bihar,KHARAKIA METALS PRIVATE LIMITED,KHUSHI TRADERS,2026-05-03,1.01
East,Bihar,KHARAKIA METALS PRIVATE LIMITED,KHUSHI TRADERS,2026-05-03,2.97
East,Bihar,KHARAKIA METALS PRIVATE LIMITED,KHUSHI TRADERS,2026-05-03,2.04
East,Bihar,KHARAKIA METALS PRIVATE LIMITED,KHUSHI TRADERS,2026-05-03,4.02
East,Bihar,KHARAKIA METALS PRIVATE LIMITED,Lead - 7294999900,2026-05-24,3.03
East,Bihar,KHARAKIA METALS PRIVATE LIMITED,Lead - 7294999900,2026-05-24,3.04
East,Bihar,KHARAKIA METALS PRIVATE LIMITED,Lead - 7294999900,2026-05-24,8.96
East,Bihar,KHARAKIA METALS PRIVATE LIMITED,Lead - 7294999900,2026-05-24,6.94
East,Bihar,KHARAKIA METALS PRIVATE LIMITED,Lead - 7294999900,2026-05-24,5.13
East,Bihar,KHARAKIA METALS PRIVATE LIMITED,Lead - 7294999900,2026-05-24,2.98
East,Bihar,KHARAKIA METALS PRIVATE LIMITED,M. A. TRADERS,2026-05-20,12.0
East,Bihar,KHARAKIA METALS PRIVATE LIMITED,M. A. TRADERS,2026-05-31,5.02
East,Bihar,KHARAKIA METALS PRIVATE LIMITED,M. A. TRADERS,2026-05-31,6.02
East,Bihar,KHARAKIA METALS PRIVATE LIMITED,M. A. TRADERS,2026-05-31,3.06
East,Bihar,KHARAKIA METALS PRIVATE LIMITED,M. A. TRADERS,2026-06-01,2.97
East,Bihar,KHARAKIA METALS PRIVATE LIMITED,M. A. TRADERS,2026-06-01,4.95
East,Bihar,KHARAKIA METALS PRIVATE LIMITED,M. A. TRADERS,2026-06-01,2.98
East,Bihar,KHARAKIA METALS PRIVATE LIMITED,M/S JINDAL ASSOCIATES,2026-05-31,12.0
East,Bihar,KHARAKIA METALS PRIVATE LIMITED,M/S KHUSHABU ENTERPRISES,2026-05-06,12.0
East,Bihar,KHARAKIA METALS PRIVATE LIMITED,MAA VAISHNAVI TRADERS,2026-05-28,12.0
East,Bihar,KHARAKIA METALS PRIVATE LIMITED,NAV DURGA TRADING,2026-05-06,12.0
East,Bihar,KHARAKIA METALS PRIVATE LIMITED,RAGHAV TRADING,2026-05-01,3.01
East,Bihar,KHARAKIA METALS PRIVATE LIMITED,RAGHAV TRADING,2026-05-01,4.01
East,Bihar,KHARAKIA METALS PRIVATE LIMITED,RAGHAV TRADING,2026-05-01,5.01
East,Bihar,KHARAKIA METALS PRIVATE LIMITED,RAGHAV TRADING,2026-05-01,4.01
East,Bihar,KHARAKIA METALS PRIVATE LIMITED,RAGHAV TRADING,2026-05-01,5.06
East,Bihar,KHARAKIA METALS PRIVATE LIMITED,RAGHAV TRADING,2026-05-01,4.02
East,Bihar,KHARAKIA METALS PRIVATE LIMITED,SR ENTERPRISES,2026-05-20,12.0
East,Bihar,KHARAKIA METALS PRIVATE LIMITED,SRI TRADERS,2026-05-07,12.0
